user_id,follow_proba
727599735511490560,0.13318980038534875
1237494489159208967,0.033672524650915366
1169826541183782912,0.5218139364028402
143350695,0.053832420662459975
296410310,0.04804727023143738
988380055968665600,0.09675846867452656
16024323,0.00036668567394933406
363529473,0.22049540060005535
4551798614,0.1290264129735453
2898941057,0.24579994086826926
1064699303397130240,0.3045126376472676
1018182129086291968,0.11868684217828762
3798214512,0.10522867145784416
410151321,0.006722205318211202
3363516911,0.1401646310862103
28763613,0.06891508934976112
745027578801491969,0.06197661125165255
4720908078,0.01819018299613118
942500570304262145,0.423971894752772
796532256915542016,0.1816186014164416
19471651,0.010505808484895402
4421977275,0.011551707685063342
201551945,0.0005656657924746921
63112528,0.009125024311509735
1706101310,0.0015548630450848398
27938182,0.4771283792716706
24058779,0.004897264512899654
1476133082,0.10189627599960076
57979327,0.11495870316230275
18245875,0.0885549563071483
4178587745,0.3913990248244132
981444908006469632,0.9312187835357436
749948269934116864,0.9993806701280604
892704216,0.0011982204137135082
1029977214803238914,0.9185995783809672
19964117,0.17751086486908071
2563616719,0.04758421901727842
281628104,0.1119503847998183
47412686,0.04154085237551762
983930727317241856,0.06751962565749321
2616105211,0.017893264999933427
2512751221,0.07588400714204385
4549964292,0.02219213553961568
934822800837275649,0.3168205362309773
825842890718969858,0.055021464967571404
20338981,0.08240849710911723
2864164252,0.17268581774834454
988917162118123520,0.236915467868602
853608883536965632,0.046265399619539856
455429947,0.8203547757437888
148866506,0.0563297454392839
44588100,0.02465185528322484
29979814,0.4369700651844365
16038939,0.02302019608122881
2891417835,0.08240849710911723
49328633,0.9952770878025125
2857815557,0.07546879930991696
1423556738,0.7560149140900891
2245071729,0.012392878134910868
948332289657798661,0.07355923281628934
242272079,0.12462535266242933
737252349765373957,0.18887065448452456
992149270399725568,0.9079762322679388
326382274,0.9978375265068162
828610686112636928,0.5246674276468566
18076062,0.6097008255480098
401292873,0.9996928068960816
1011873317479960577,0.9998801525919934
216672577,0.98869970825718
2181113628,0.9437742862140918
142720807,0.0058986326501667226
814686066376667138,0.2512232734746308
1000473468322926592,0.08240849710911723
899825822072270849,0.003967718175731681
561016851,0.11848796845334565
973716012498653184,0.08240849710911723
288368943,0.9338191070274504
467828212,0.06630463661856327
2724570331,0.9026291250896564
974057051503685632,0.3587259994581889
21501875,0.000786056469388415
124230401,0.09504636406486612
938262341992325120,0.06433597042768215
17644123,0.057586213295387614
841865131780935680,0.11836421364962822
2991031060,0.057703686751841225
2935599109,0.3740394496219117
21937199,0.11231032531328618
1332787717,0.055376854862869584
2835412194,0.4960808737719242
382345021,0.07533666512661841
468908295,0.017255319017286982
4384451473,0.08771862441138145
615751539,0.999942131499718
3146592211,0.010739463037239137
4063957940,0.03471712313194844
192617295,0.10226751631291227
898248390978396160,0.4178716380864159
775166560151281664,0.06725133475000616
2441905471,0.1235117377484762
725031270774919168,0.01677332045995811
312587343,0.0006773286204620457
2182709236,0.05708552150158616
3091934094,0.056065373638198295
945619472412536833,0.08240849710911723
2312460198,0.0954366071083908
2804775824,0.9996454307179792
3399527774,0.03507872552084284
833559079,0.022422592936462017
231940481,0.03358856830235925
272474098,0.6088805064704265
2955597647,0.0845942720523023
2909469176,0.016284080281260174
709741659907555329,0.11900069694597155
940215233259474945,0.071719742089537
482490232,0.6109965047369771
97142209,0.004240652125661092
3246248581,0.08240849710911723
815716883433451521,0.08240849710911723
2763566517,0.0372212251283639
846862129533796354,0.09222057917222663
2185313416,0.0009005924955617074
2339714023,0.11701697781206387
1430957773,0.007511171304754574
4304955860,0.11318361087206465
1258410990,0.361154368889644
832650549723959298,0.08240849710911723
20382242,0.05640188738751214
365748349,0.261965819354304
560881468,0.17857127608274925
35578586,0.0372314412566064
771324316793180160,0.08240849710911723
749393078474182656,0.5542452583382889
1019556037,0.9994062832861801
1253159094,0.001627511769779372
904139436576743425,0.09317930314252433
3885225561,0.0187660096417455
